Load_res,LFW,Load,LFS
2125.7712,0.01998151,10419.3605,0.230915442
2247.45192,0.012360198,10172.93,0.306145395
2175.41688,0.01880966,9896.366,0.319893457
2021.01312,0.025943734,10194.62775,0.2263765
1955.44608,0.027947988,10249.22775,0.1560123
1997.5032,0.031471164,10481.67175,0.073619606
2212.88088,0.03505155,10786.665,0.011716078
2923.13784,0.050472478,11497.84375,0
3112.15464,0.045926198,11532.62375,0
3000.56232,0.047851311,11043.6795,0
2766.60384,0.067002324,10420.5265,0
2541.78792,0.068496455,9899.262,0
2313.16176,0.090277216,10018.5445,0
1898.31768,0.115988297,9949.8905,0
1648.99896,0.411618529,7710.56675,0
1428.80472,0.43553608,7125.91,0
1304.3688,0.561282478,6781.034,0
1173.82608,0.688965432,6495.48625,0
1132.78872,0.763875116,6413.952,0
1113.08736,0.769957482,6507.818,0
1205.96616,0.762251308,6622.0755,0
1507.3464,0.773988873,6626.32,0
2304.7836,0.771744337,6999.44,1.61E-05
2824.30176,0.771620383,7448.13675,0.009229438
3030.81744,0.769816364,7799.5085,0.037043904
3291.31152,0.765395946,7971.31825,0.054688294
3316.91136,0.770902399,8095.6925,0.069430334
3172.55904,0.767727249,8080.23,0.060247462
3142.97088,0.757742215,8132.9175,0.030853975
3085.25952,0.724949503,8306.5225,0.009502909
3229.08096,0.678281484,8508.26425,0.000668015
3788.23032,0.65517822,8890.51675,0
3827.8296,0.625765659,8720.84475,0
3434.58864,0.691132733,8282.2625,0
3217.51248,0.683536212,7989.453,0
2965.95096,0.69963317,7683.72975,0
2567.23152,0.694365092,7816.09475,0
2149.4424,0.731762248,7896.59125,0
