LOAD_10_YEARS,LOAD_10_YEARS_2,LOAD_10_YEARS_3,LOAD_2020,LOAD_2019,LOAD_2018,LOAD_2017,LOAD_2016,LOAD_2015,LOAD_2014,LOAD_2013,LOAD_2012,LOAD_2011
9132860,5132860,2184.65184,9132860,8201591,8448674,11003074,10447723,10129048,10503084,8012125,11574361,11110008
9330358,5330358,2165.47464,9330358,8345616,8677665,11052956,10676426,10017715,10691880,8568477,11771849,11234823
9380917,5380917,2125.7712,9380917,8067042,8352300,10613837,10792054,9878177,10455550,9054755,11702266,11196647
9367819,5367819,2247.45192,9367819,7712477,7928365,10216358,10810731,10066024,10436147,9212784,11837089,11260757
9396388,5396388,2175.41688,9396388,7856447,7830736,9850886,10603999,9987536,10268773,9565679,11642235,11196043
9300239,5300239,2021.01312,9300239,7948482,7702317,10185287,10517323,10059636,10449689,9488644,11309574,11186089
9307103,5307103,1955.44608,9307103,8308959,7705526,10145201,10338529,10051472,10579431,9124517,10966294,11133925
9475384,5475384,1997.5032,9475384,8550507,7993830,10490101,10253283,10127373,10723524,8973353,11120585,11180514
9673770,5673770,2212.88088,9673770,8680140,8649778,10648000,10455578,10232299,10789013,9005865,10978965,11254376
10195762,6195762,2923.13784,10195762,9329940,9163858,11174162,10901165,10697217,11309889,9666279,11586644,11714404
10603449,6603449,3112.15464,10603449,9870503,9597953,11667436,11205985,10936596,11846598,10287648,12276075,12026482
10120850,6120850,3000.56232,10120850,9730366,9513002,11236462,10851633,10557226,11242228,10373453,11592676,11678720
9563570,5563570,2766.60384,9563570,9426955,8998454,10737202,10392216,9975085,10732347,10063996,11057574,11203318
8888761,4888761,2541.78792,8888761,9127863,8578802,10066024,9797766,9390960,10223605,9586364,10493549,10532495
8514606,4514606,2313.16176,8514606,8919221,8460807,9920434,9446753,9199515,9981661,9452939,10332111,10320602
8603389,4603389,1898.31768,8603389,8995359,8675782,10116152,9741396,9229071,10143905,9668860,10911009,10821592
8578221,4578221,1648.99896,8578221,8123365,8171990,7938625,9385612,8130416,9234593,8632341,8174553,8993005
8135898,4135898,1428.80472,8135898,7698315,7775776,7372413,8981873,7534501,8738632,8028245,7543149,8404122
7802166,3802166,1304.3688,7802166,7311373,7323191,6891383,8508809,6971975,8161056,7546673,7156409,7782354
7446767,3446767,1173.82608,7446767,7200755,7120413,6620662,8207680,6667571,7872280,7235781,6899533,7396932
7295745,3295745,1132.78872,7295745,7196326,7068827,6412536,8025100,6678571,7735075,7103791,6825564,7256869
7374634,3374634,1113.08736,7374634,7415519,7236455,6466706,8160093,6866138,7789326,7274243,6864883,7210005
7876344,3876344,1205.96616,7876344,7952129,7728957,6577350,8514233,7299028,8153404,7643873,7014935,7359561
8182456,4182456,1507.3464,8182456,8476146,8067576,6562808,8818778,7534360,8411819,7927091,7075407,7390865
8688698,4688698,2304.7836,8688698,9006287,8527607,6846514,9452471,8169683,9008113,8493819,7308760,7811966
9013626,5013626,2824.30176,9013626,9445496,8884715,7257843,9800295,8403184,9406114,8767257,7564011,8342680
9086605,5086605,3030.81744,9086605,9582078,9107488,7722141,9579787,8365466,9546724,8907114,8061805,8893969
8981162,4981162,3291.31152,8981162,9598208,9148480,7882555,9226943,8112356,9436737,8784489,7943024,9071896
8991200,4991200,3316.91136,8991200,9563523,9129302,8092964,9054202,7829191,9343596,8698773,8299570,9207897
8821860,4821860,3172.55904,8821860,9254888,9084248,8080436,8844249,7658045,9210249,8627656,8290553,9136300
8727350,4727350,3142.97088,8727350,9078553,8982414,8105792,8878255,7696783,9096628,8662775,8137185,9090910
8984825,4984825,3085.25952,8984825,9071599,9046285,8238594,9210349,8054706,9185002,8725376,8272019,9083416
9233633,5233633,3229.08096,9233633,9166664,9088935,8360744,9591971,8394416,9372696,8764715,8277629,9252721
9861144,5861144,3788.23032,9861144,9567431,9617247,8837440,10364017,9072376,9909577,9391449,8876796,9828283
10082001,6082001,3827.8296,10082001,9459927,9601962,8829729,10758375,9289249,10097044,9506188,9201998,9799899
9741152,5741152,3434.58864,9741152,8955905,9199079,8448296,10483481,8816808,9652222,8984766,9271077,9313701
9162230,5162230,3217.51248,9162230,8524347,8682882,8095545,10005555,8274602,9103592,8461686,8978876,8774124
8715892,4715892,2965.95096,8715892,8180499,8403679,7780368,9403851,7997065,8793560,8267517,8577707,8524889
8568261,4568261,2567.23152,8568261,8309975,8471212,7717232,9344177,8073406,8995798,8486563,8447189,8481348
8833063,4833063,2149.4424,8833063,8689689,8758612,8019442,9766405,8511819,9572249,9033936,8793879,8878604
9671248,5671248,1735.55088,,,,,,,,,,
9078769,5078769,1445.78448,,,,,,,,,,
8563995,4563995,1301.09112,,,,,,,,,,
8301875,4301875,1190.85624,,,,,,,,,,
8201779,4201779,1182.90312,,,,,,,,,,
8066349,4066349,1216.18224,,,,,,,,,,
8147380,4147380,1455.04296,,,,,,,,,,
8322281,4322281,1832.03832,,,,,,,,,,
8671847,4671847,2294.74392,,,,,,,,,,
9311493,5311493,2481.4524,,,,,,,,,,
9716439,5716439,2546.53896,,,,,,,,,,
9957954,5957954,2731.596,,,,,,,,,,
10004820,6004820,2737.00392,,,,,,,,,,
9921213,5921213,2535.16872,,,,,,,,,,
9798974,5798974,2420.71368,,,,,,,,,,
9697218,5697218,2477.39352,,,,,,,,,,
9732092,5732092,2655.78768,,,,,,,,,,
10068178,6068178,3283.10304,,,,,,,,,,
10420230,6420230,3462.33384,,,,,,,,,,
10063060,6063060,3334.76808,,,,,,,,,,
9557685,5557685,3115.24248,,,,,,,,,,
9148136,5148136,2876.9916,,,,,,,,,,
9077603,5077603,2644.8324,,,,,,,,,,
9346277,5346277,2165.43936,,,,,,,,,,
9253829,5253829,1508.32752,,,,,,,,,,
8790894,4790894,1289.60832,,,,,,,,,,
8350385,4350385,1190.87304,,,,,,,,,,
8345012,4345012,1108.58496,,,,,,,,,,
8254583,4254583,1117.20504,,,,,,,,,,
8541921,4541921,1209.40344,,,,,,,,,,
9294811,5294811,1621.49064,,,,,,,,,,
10356455,6356455,2137.09272,,,,,,,,,,
10562635,6562635,2264.04864,,,,,,,,,,
10617445,6617445,2236.81416,,,,,,,,,,
10279096,6279096,2208.71616,,,,,,,,,,
9937660,5937660,2356.75944,,,,,,,,,,
9527324,5527324,2256.28368,,,,,,,,,,
9326496,5326496,2071.04352,,,,,,,,,,
9179861,5179861,1997.59224,,,,,,,,,,
9552118,5552118,2046.59952,,,,,,,,,,
9862553,5862553,2277.88512,,,,,,,,,,
10239072,6239072,2659.062,,,,,,,,,,
11168530,7168530,3286.15224,,,,,,,,,,
11388904,7388904,3269.4228,,,,,,,,,,
10682634,6682634,3015.138,,,,,,,,,,
10326542,6326542,2751.90384,,,,,,,,,,
9712187,5712187,2468.84568,,,,,,,,,,
9888791,5888791,1948.23216,,,,,,,,,,
7975039,3975039,1633.06248,,,,,,,,,,
7595290,3595290,1393.26432,,,,,,,,,,
7267967,3267967,1252.66008,,,,,,,,,,
7069194,3069194,1145.30808,,,,,,,,,,
7207904,3207904,1114.764,,,,,,,,,,
7519707,3519707,1131.28008,,,,,,,,,,
8491563,4491563,1274.79408,,,,,,,,,,
9263006,5263006,1615.95336,,,,,,,,,,
9584691,5584691,2218.62144,,,,,,,,,,
9838919,5838919,2546.69184,,,,,,,,,,
10014901,6014901,2644.41744,,,,,,,,,,
9744508,5744508,2828.42112,,,,,,,,,,
9372480,5372480,2850.26448,,,,,,,,,,
9131099,5131099,2679.0708,,,,,,,,,,
8676522,4676522,2522.14368,,,,,,,,,,
8981577,4981577,2474.41488,,,,,,,,,,
9225102,5225102,2505.15216,,,,,,,,,,
9621240,5621240,2682.72816,,,,,,,,,,
10142004,6142004,3086.13984,,,,,,,,,,
10757453,6757453,3158.93424,,,,,,,,,,
10130957,6130957,2926.99512,,,,,,,,,,
9572938,5572938,2628.75648,,,,,,,,,,
9306985,5306985,2334.51624,,,,,,,,,,
9460084,5460084,1962.10056,,,,,,,,,,
8000272,4000272,1304.73168,,,,,,,,,,
7647177,3647177,1191.83064,,,,,,,,,,
7406173,3406173,1106.96544,,,,,,,,,,
7317339,3317339,1041.27072,,,,,,,,,,
7253014,3253014,1055.15088,,,,,,,,,,
7566894,3566894,1127.4312,,,,,,,,,,
7990832,3990832,1325.42592,,,,,,,,,,
8878339,4878339,1698.34896,,,,,,,,,,
9258820,5258820,1961.15136,,,,,,,,,,
9415530,5415530,2160.48,,,,,,,,,,
9144122,5144122,2398.95096,,,,,,,,,,
9164584,5164584,2396.96184,,,,,,,,,,
8670929,4670929,2189.6616,,,,,,,,,,
8324418,4324418,2010.97344,,,,,,,,,,
8391030,4391030,1885.05408,,,,,,,,,,
8355000,4355000,1849.8732,,,,,,,,,,
8152627,4152627,2024.57136,,,,,,,,,,
8429875,4429875,2216.46432,,,,,,,,,,
8990276,4990276,2289.05712,,,,,,,,,,
9201928,5201928,2272.43856,,,,,,,,,,
9103268,5103268,2235.45,,,,,,,,,,
8935340,4935340,2049.5832,,,,,,,,,,
8980375,4980375,1663.94592,,,,,,,,,,
8969600,4969600,1374.2484,,,,,,,,,,
8136196,4136196,1228.35384,,,,,,,,,,
7784814,3784814,1139.61288,,,,,,,,,,
7454332,3454332,1080.6768,,,,,,,,,,
7377434,3377434,1041.63864,,,,,,,,,,
7171479,3171479,1120.83552,,,,,,,,,,
7119809,3119809,1331.92584,,,,,,,,,,
7064798,3064798,1620.76152,,,,,,,,,,
7355653,3355653,1705.53264,,,,,,,,,,
7621348,3621348,1688.1816,,,,,,,,,,
7890680,3890680,1700.59176,,,,,,,,,,
7815827,3815827,1852.6956,,,,,,,,,,
7557862,3557862,1803.774,,,,,,,,,,
7352123,3352123,1693.91376,,,,,,,,,,
6897982,2897982,1591.3212,,,,,,,,,,
6374189,2374189,1565.22912,,,,,,,,,,
6248038,2248038,1688.39664,,,,,,,,,,
6303733,2303733,1990.65552,,,,,,,,,,
6615925,2615925,2195.63736,,,,,,,,,,
7214440,3214440,2222.10912,,,,,,,,,,
7607358,3607358,2157.97512,,,,,,,,,,
7771695,3771695,2114.40264,,,,,,,,,,
7921830,3921830,2066.27904,,,,,,,,,,
7951153,3951153,1721.92776,,,,,,,,,,
7956882,3956882,1422.83904,,,,,,,,,,
8060460,4060460,1228.19592,,,,,,,,,,
7696784,3696784,1140.98208,,,,,,,,,,
7362994,3362994,1082.3652,,,,,,,,,,
7139027,3139027,1041.85536,,,,,,,,,,
7009958,3009958,1119.70152,,,,,,,,,,
6798837,2798837,1325.67792,,,,,,,,,,
6783034,2783034,1612.1616,,,,,,,,,,
6950096,2950096,1697.08896,,,,,,,,,,
7048163,3048163,1681.0248,,,,,,,,,,
7031651,3031651,1696.96296,,,,,,,,,,
6756472,2756472,1849.5456,,,,,,,,,,
6390871,2390871,1801.05744,,,,,,,,,,
6356659,2356659,1692.7176,,,,,,,,,,
6228106,2228106,1590.34176,,,,,,,,,,
6126504,2126504,1563.4164,,,,,,,,,,
6190500,2190500,1684.8804,,,,,,,,,,
6388588,2388588,1986.19008,,,,,,,,,,
6713107,2713107,2190.36888,,,,,,,,,,
7189270,3189270,2218.80456,,,,,,,,,,
7642060,3642060,2154.00528,,,,,,,,,,
7896757,3896757,2107.37352,,,,,,,,,,
8022526,4022526,2063.98752,,,,,,,,,,
8074754,4074754,1718.45856,,,,,,,,,,
8126531,4126531,1420.84824,,,,,,,,,,
7182093,3182093,1264.59648,,,,,,,,,,
6879518,2879518,1188.09936,,,,,,,,,,
6618792,2618792,1124.69952,,,,,,,,,,
6512764,2512764,1069.01088,,,,,,,,,,
6465507,2465507,1108.99992,,,,,,,,,,
6497845,2497845,1227.70872,,,,,,,,,,
6474794,2474794,1414.60536,,,,,,,,,,
6381587,2381587,1608.05064,,,,,,,,,,
6224661,2224661,1671.66384,,,,,,,,,,
6080198,2080198,1711.31688,,,,,,,,,,
5844648,1844648,1856.86704,,,,,,,,,,
5568383,1568383,1832.07528,,,,,,,,,,
5582911,1582911,1752.55752,,,,,,,,,,
5370759,1370759,1666.2828,,,,,,,,,,
5238548,1238548,1655.67696,,,,,,,,,,
5476544,1476544,1727.76408,,,,,,,,,,
5853427,1853427,1912.71024,,,,,,,,,,
6298667,2298667,2038.44144,,,,,,,,,,
6911278,2911278,2031.7584,,,,,,,,,,
7548799,3548799,1966.48704,,,,,,,,,,
7762350,3762350,2028.02712,,,,,,,,,,
7903622,3903622,1982.14968,,,,,,,,,,
8098184,4098184,1752.64992,,,,,,,,,,
7801966,3801966,1511.02224,,,,,,,,,,
7506883,3506883,1287.69816,,,,,,,,,,
7245292,3245292,1178.41752,,,,,,,,,,
6993417,2993417,1095.20544,,,,,,,,,,
6986358,2986358,1037.46216,,,,,,,,,,
7071369,3071369,1060.80912,,,,,,,,,,
7376887,3376887,1161.66288,,,,,,,,,,
8069666,4069666,1464.66264,,,,,,,,,,
9192230,5192230,1860.8856,,,,,,,,,,
9457088,5457088,2044.73808,,,,,,,,,,
9634124,5634124,2124.65904,,,,,,,,,,
9610399,5610399,2252.89176,,,,,,,,,,
9576114,5576114,2256.5256,,,,,,,,,,
9159167,5159167,2136.25272,,,,,,,,,,
9006855,5006855,2003.34288,,,,,,,,,,
9320323,5320323,1935.35496,,,,,,,,,,
9419313,5419313,1946.26152,,,,,,,,,,
9532178,5532178,2116.92768,,,,,,,,,,
9775779,5775779,2293.04544,,,,,,,,,,
9970288,5970288,2288.06424,,,,,,,,,,
9874819,5874819,2467.05648,,,,,,,,,,
9833450,5833450,2266.29816,,,,,,,,,,
9482305,5482305,2017.69848,,,,,,,,,,
9013941,5013941,1753.9536,,,,,,,,,,
8711619,4711619,1496.30376,,,,,,,,,,
7368219,3368219,1220.34864,,,,,,,,,,
6995080,2995080,1131.9336,,,,,,,,,,
6623782,2623782,1062.68736,,,,,,,,,,
6480574,2480574,1036.71792,,,,,,,,,,
6395659,2395659,1109.2368,,,,,,,,,,
6345042,2345042,1376.48616,,,,,,,,,,
6452668,2452668,1774.41432,,,,,,,,,,
6635139,2635139,1884.00744,,,,,,,,,,
6726305,2726305,1878.48528,,,,,,,,,,
7175924,3175924,1860.77976,,,,,,,,,,
7239779,3239779,1978.61832,,,,,,,,,,
7466012,3466012,1917.26304,,,,,,,,,,
7732905,3732905,1792.8036,,,,,,,,,,
7559345,3559345,1701.96096,,,,,,,,,,
7291583,3291583,1698.6648,,,,,,,,,,
7239781,3239781,1827.60312,,,,,,,,,,
7185352,3185352,2069.54496,,,,,,,,,,
7250101,3250101,2261.8848,,,,,,,,,,
7772213,3772213,2495.46192,,,,,,,,,,
8089542,4089542,2481.54144,,,,,,,,,,
8360925,4360925,2311.1256,,,,,,,,,,
7994256,3994256,2116.50432,,,,,,,,,,
7584789,3584789,1790.85144,,,,,,,,,,
7497932,3497932,1495.2,,,,,,,,,,
8333464,4333464,1216.17048,,,,,,,,,,
7881049,3881049,1127.88648,,,,,,,,,,
7463117,3463117,1057.58856,,,,,,,,,,
7234324,3234324,1034.65824,,,,,,,,,,
7129259,3129259,1112.958,,,,,,,,,,
7181049,3181049,1402.45056,,,,,,,,,,
7339781,3339781,1813.04928,,,,,,,,,,
7727857,3727857,1892.11176,,,,,,,,,,
8080278,4080278,1855.19208,,,,,,,,,,
8506347,4506347,1839.61848,,,,,,,,,,
8497399,4497399,1977.44904,,,,,,,,,,
8369502,4369502,1902.9948,,,,,,,,,,
8424368,4424368,1759.85544,,,,,,,,,,
8115577,4115577,1658.27088,,,,,,,,,,
7648641,3648641,1659.89208,,,,,,,,,,
7372021,3372021,1820.09016,,,,,,,,,,
7667356,3667356,2126.86152,,,,,,,,,,
7903916,3903916,2355.09624,,,,,,,,,,
8411471,4411471,2707.04112,,,,,,,,,,
8863155,4863155,2595.2976,,,,,,,,,,
8969276,4969276,2404.92,,,,,,,,,,
8426915,4426915,2166.35832,,,,,,,,,,
8102317,4102317,1759.20864,,,,,,,,,,
8106880,4106880,1417.31184,,,,,,,,,,
8669698,4669698,1457.7948,,,,,,,,,,
8346268,4346268,1254.1536,,,,,,,,,,
7982326,3982326,1163.316,,,,,,,,,,
7773777,3773777,1080.55752,,,,,,,,,,
7616513,3616513,1081.962,,,,,,,,,,
7695162,3695162,1165.53024,,,,,,,,,,
7854937,3854937,1534.6296,,,,,,,,,,
7984052,3984052,2045.53776,,,,,,,,,,
8201591,4201591,2184.65184,,,,,,,,,,
8345616,4345616,2165.47464,,,,,,,,,,
8067042,4067042,2125.7712,,,,,,,,,,
7712477,3712477,2247.45192,,,,,,,,,,
7856447,3856447,2175.41688,,,,,,,,,,
7948482,3948482,2021.01312,,,,,,,,,,
8308959,4308959,1955.44608,,,,,,,,,,
8550507,4550507,1997.5032,,,,,,,,,,
8680140,4680140,2212.88088,,,,,,,,,,
9329940,5329940,2923.13784,,,,,,,,,,
9870503,5870503,3112.15464,,,,,,,,,,
9730366,5730366,3000.56232,,,,,,,,,,
9426955,5426955,2766.60384,,,,,,,,,,
9127863,5127863,2541.78792,,,,,,,,,,
8919221,4919221,2313.16176,,,,,,,,,,
8995359,4995359,1898.31768,,,,,,,,,,
8123365,4123365,1648.99896,,,,,,,,,,
7698315,3698315,1428.80472,,,,,,,,,,
7311373,3311373,1304.3688,,,,,,,,,,
7200755,3200755,1173.82608,,,,,,,,,,
7196326,3196326,1132.78872,,,,,,,,,,
7415519,3415519,1113.08736,,,,,,,,,,
7952129,3952129,1205.96616,,,,,,,,,,
8476146,4476146,1507.3464,,,,,,,,,,
9006287,5006287,2304.7836,,,,,,,,,,
9445496,5445496,2824.30176,,,,,,,,,,
9582078,5582078,3030.81744,,,,,,,,,,
9598208,5598208,3291.31152,,,,,,,,,,
9563523,5563523,3316.91136,,,,,,,,,,
9254888,5254888,3172.55904,,,,,,,,,,
9078553,5078553,3142.97088,,,,,,,,,,
9071599,5071599,3085.25952,,,,,,,,,,
9166664,5166664,3229.08096,,,,,,,,,,
9567431,5567431,3788.23032,,,,,,,,,,
9459927,5459927,3827.8296,,,,,,,,,,
8955905,4955905,3434.58864,,,,,,,,,,
8524347,4524347,3217.51248,,,,,,,,,,
8180499,4180499,2965.95096,,,,,,,,,,
8309975,4309975,2567.23152,,,,,,,,,,
8689689,4689689,2149.4424,,,,,,,,,,
9086344,5086344,1735.55088,,,,,,,,,,
8580024,4580024,1445.78448,,,,,,,,,,
8070526,4070526,1301.09112,,,,,,,,,,
7836510,3836510,1190.85624,,,,,,,,,,
7923710,3923710,1182.90312,,,,,,,,,,
7977748,3977748,1216.18224,,,,,,,,,,
8764478,4764478,1455.04296,,,,,,,,,,
9361499,5361499,1832.03832,,,,,,,,,,
10240200,6240200,2294.74392,,,,,,,,,,
10575975,6575975,2481.4524,,,,,,,,,,
10612039,6612039,2546.53896,,,,,,,,,,
10748093,6748093,2731.596,,,,,,,,,,
10662731,6662731,2737.00392,,,,,,,,,,
10557720,6557720,2535.16872,,,,,,,,,,
10218244,6218244,2420.71368,,,,,,,,,,
10244921,6244921,2477.39352,,,,,,,,,,
10274299,6274299,2655.78768,,,,,,,,,,
10743141,6743141,3283.10304,,,,,,,,,,
10958153,6958153,3462.33384,,,,,,,,,,
10692629,6692629,3334.76808,,,,,,,,,,
10084651,6084651,3115.24248,,,,,,,,,,
9662210,5662210,2876.9916,,,,,,,,,,
9598906,5598906,2644.8324,,,,,,,,,,
9976646,5976646,2165.43936,,,,,,,,,,
9958483,5958483,1508.32752,,,,,,,,,,
9549562,5549562,1289.60832,,,,,,,,,,
9217746,5217746,1190.87304,,,,,,,,,,
8990161,4990161,1108.58496,,,,,,,,,,
8914343,4914343,1117.20504,,,,,,,,,,
9116671,5116671,1209.40344,,,,,,,,,,
10063263,6063263,1621.49064,,,,,,,,,,
11168771,7168771,2137.09272,,,,,,,,,,
11223068,7223068,2264.04864,,,,,,,,,,
11188565,7188565,2236.81416,,,,,,,,,,
10581531,6581531,2208.71616,,,,,,,,,,
10152803,6152803,2356.75944,,,,,,,,,,
9552126,5552126,2256.28368,,,,,,,,,,
9346822,5346822,2071.04352,,,,,,,,,,
9247550,5247550,1997.59224,,,,,,,,,,
9543648,5543648,2046.59952,,,,,,,,,,
9937477,5937477,2277.88512,,,,,,,,,,
10440803,6440803,2659.062,,,,,,,,,,
11188431,7188431,3286.15224,,,,,,,,,,
11593927,7593927,3269.4228,,,,,,,,,,
11073273,7073273,3015.138,,,,,,,,,,
10502086,6502086,2751.90384,,,,,,,,,,
10281404,6281404,2468.84568,,,,,,,,,,
10530043,6530043,1948.23216,,,,,,,,,,
9402668,5402668,1633.06248,,,,,,,,,,
9085643,5085643,1393.26432,,,,,,,,,,
8547223,4547223,1252.66008,,,,,,,,,,
8113726,4113726,1145.30808,,,,,,,,,,
8050821,4050821,1114.764,,,,,,,,,,
8032043,4032043,1131.28008,,,,,,,,,,
8110474,4110474,1274.79408,,,,,,,,,,
8052185,4052185,1615.95336,,,,,,,,,,
8174115,4174115,2218.62144,,,,,,,,,,
8294738,4294738,2546.69184,,,,,,,,,,
8091640,4091640,2644.41744,,,,,,,,,,
7826715,3826715,2828.42112,,,,,,,,,,
8486035,4486035,2850.26448,,,,,,,,,,
8753432,4753432,2679.0708,,,,,,,,,,
8775137,4775137,2522.14368,,,,,,,,,,
8889579,4889579,2474.41488,,,,,,,,,,
8799696,4799696,2505.15216,,,,,,,,,,
9044027,5044027,2682.72816,,,,,,,,,,
9668540,5668540,3086.13984,,,,,,,,,,
10064305,6064305,3158.93424,,,,,,,,,,
9636340,5636340,2926.99512,,,,,,,,,,
9128904,5128904,2628.75648,,,,,,,,,,
8990601,4990601,2334.51624,,,,,,,,,,
9160714,5160714,1962.10056,,,,,,,,,,
7690938,3690938,1304.73168,,,,,,,,,,
7470698,3470698,1191.83064,,,,,,,,,,
7278012,3278012,1106.96544,,,,,,,,,,
7172357,3172357,1041.27072,,,,,,,,,,
7299606,3299606,1055.15088,,,,,,,,,,
7541499,3541499,1127.4312,,,,,,,,,,
8177982,4177982,1325.42592,,,,,,,,,,
8837434,4837434,1698.34896,,,,,,,,,,
9212906,5212906,1961.15136,,,,,,,,,,
9259100,5259100,2160.48,,,,,,,,,,
8956458,4956458,2398.95096,,,,,,,,,,
8796821,4796821,2396.96184,,,,,,,,,,
8532988,4532988,2189.6616,,,,,,,,,,
8346418,4346418,2010.97344,,,,,,,,,,
8422945,4422945,1885.05408,,,,,,,,,,
8349969,4349969,1849.8732,,,,,,,,,,
8573930,4573930,2024.57136,,,,,,,,,,
8803200,4803200,2216.46432,,,,,,,,,,
9273343,5273343,2289.05712,,,,,,,,,,
9443771,5443771,2272.43856,,,,,,,,,,
9462448,5462448,2235.45,,,,,,,,,,
9244872,5244872,2049.5832,,,,,,,,,,
9020805,5020805,1663.94592,,,,,,,,,,
8992531,4992531,1374.2484,,,,,,,,,,
8317175,4317175,1228.35384,,,,,,,,,,
7999020,3999020,1139.61288,,,,,,,,,,
7659167,3659167,1080.6768,,,,,,,,,,
7701879,3701879,1041.63864,,,,,,,,,,
7678930,3678930,1120.83552,,,,,,,,,,
7801338,3801338,1331.92584,,,,,,,,,,
8346768,4346768,1620.76152,,,,,,,,,,
8933281,4933281,1705.53264,,,,,,,,,,
9129603,5129603,1688.1816,,,,,,,,,,
9045655,5045655,1700.59176,,,,,,,,,,
8711974,4711974,1852.6956,,,,,,,,,,
8506942,4506942,1803.774,,,,,,,,,,
8331688,4331688,1693.91376,,,,,,,,,,
8295405,4295405,1591.3212,,,,,,,,,,
7990614,3990614,1565.22912,,,,,,,,,,
8131823,4131823,1688.39664,,,,,,,,,,
8125143,4125143,1990.65552,,,,,,,,,,
8404968,4404968,2195.63736,,,,,,,,,,
8801467,4801467,2222.10912,,,,,,,,,,
8774512,4774512,2157.97512,,,,,,,,,,
8804050,4804050,2114.40264,,,,,,,,,,
8799059,4799059,2066.27904,,,,,,,,,,
8856673,4856673,1721.92776,,,,,,,,,,
8922980,4922980,1422.83904,,,,,,,,,,
8305364,4305364,1228.19592,,,,,,,,,,
8031715,4031715,1140.98208,,,,,,,,,,
7620374,3620374,1082.3652,,,,,,,,,,
7429414,3429414,1041.85536,,,,,,,,,,
7463677,3463677,1119.70152,,,,,,,,,,
7433048,3433048,1325.67792,,,,,,,,,,
7814894,3814894,1612.1616,,,,,,,,,,
8533813,4533813,1697.08896,,,,,,,,,,
8842639,4842639,1681.0248,,,,,,,,,,
8581080,4581080,1696.96296,,,,,,,,,,
8311906,4311906,1849.5456,,,,,,,,,,
8123255,4123255,1801.05744,,,,,,,,,,
8014694,4014694,1692.7176,,,,,,,,,,
7898502,3898502,1590.34176,,,,,,,,,,
7716251,3716251,1563.4164,,,,,,,,,,
7858633,3858633,1684.8804,,,,,,,,,,
7946330,3946330,1986.19008,,,,,,,,,,
8176530,4176530,2190.36888,,,,,,,,,,
8392282,4392282,2218.80456,,,,,,,,,,
8424291,4424291,2154.00528,,,,,,,,,,
8500297,4500297,2107.37352,,,,,,,,,,
8543781,4543781,2063.98752,,,,,,,,,,
8654652,4654652,1718.45856,,,,,,,,,,
8722999,4722999,1420.84824,,,,,,,,,,
8102071,4102071,1264.59648,,,,,,,,,,
7716538,3716538,1188.09936,,,,,,,,,,
7366288,3366288,1124.69952,,,,,,,,,,
7203163,3203163,1069.01088,,,,,,,,,,
7160516,3160516,1108.99992,,,,,,,,,,
7187711,3187711,1227.70872,,,,,,,,,,
7151769,3151769,1414.60536,,,,,,,,,,
7216847,3216847,1608.05064,,,,,,,,,,
7281398,3281398,1671.66384,,,,,,,,,,
7211862,3211862,1711.31688,,,,,,,,,,
7066101,3066101,1856.86704,,,,,,,,,,
6756749,2756749,1832.07528,,,,,,,,,,
6626900,2626900,1752.55752,,,,,,,,,,
6485717,2485717,1666.2828,,,,,,,,,,
6362973,2362973,1655.67696,,,,,,,,,,
6380212,2380212,1727.76408,,,,,,,,,,
6603835,2603835,1912.71024,,,,,,,,,,
7076808,3076808,2038.44144,,,,,,,,,,
7350949,3350949,2031.7584,,,,,,,,,,
7535721,3535721,1966.48704,,,,,,,,,,
7663104,3663104,2028.02712,,,,,,,,,,
7744156,3744156,1982.14968,,,,,,,,,,
8128634,4128634,1752.64992,,,,,,,,,,
7915479,3915479,1511.02224,,,,,,,,,,
7548430,3548430,1287.69816,,,,,,,,,,
7291407,3291407,1178.41752,,,,,,,,,,
7017526,3017526,1095.20544,,,,,,,,,,
6855204,2855204,1037.46216,,,,,,,,,,
6659588,2659588,1060.80912,,,,,,,,,,
6578593,2578593,1161.66288,,,,,,,,,,
6776928,2776928,1464.66264,,,,,,,,,,
6746627,2746627,1860.8856,,,,,,,,,,
6826574,2826574,2044.73808,,,,,,,,,,
6871134,2871134,2124.65904,,,,,,,,,,
6945767,2945767,2252.89176,,,,,,,,,,
6649144,2649144,2256.5256,,,,,,,,,,
6614883,2614883,2136.25272,,,,,,,,,,
6302648,2302648,2003.34288,,,,,,,,,,
6110500,2110500,1935.35496,,,,,,,,,,
6292360,2292360,1946.26152,,,,,,,,,,
6598150,2598150,2116.92768,,,,,,,,,,
6936370,2936370,2293.04544,,,,,,,,,,
7605532,3605532,2288.06424,,,,,,,,,,
8245006,4245006,2467.05648,,,,,,,,,,
8676654,4676654,2266.29816,,,,,,,,,,
8664556,4664556,2017.69848,,,,,,,,,,
8276087,4276087,1753.9536,,,,,,,,,,
8086029,4086029,1496.30376,,,,,,,,,,
8059307,4059307,1220.34864,,,,,,,,,,
7511744,3511744,1131.9336,,,,,,,,,,
7242670,3242670,1062.68736,,,,,,,,,,
7197551,3197551,1036.71792,,,,,,,,,,
7011851,3011851,1109.2368,,,,,,,,,,
7116751,3116751,1376.48616,,,,,,,,,,
7341569,3341569,1774.41432,,,,,,,,,,
7795320,3795320,1884.00744,,,,,,,,,,
7966640,3966640,1878.48528,,,,,,,,,,
