LOAD_10_YEARS,LOAD_10_YEARS_2,LOAD_10_YEARS_3,LOAD_2020,LOAD_2019,LOAD_2018,LOAD_2017,LOAD_2016,LOAD_2015,LOAD_2014,LOAD_2013,LOAD_2012,LOAD_2011
9616175,5616175,2546.69184,9616175,9838919,8294738,8829739,11025984,10487666,10618866,10475068,9593887,10957735
8996340,4996340,2644.41744,8996340,10014901,8091640,9256972,10666618,10089931,10241456,10195468,9793632,10879240
8632498,4632498,2828.42112,8632498,9744508,7826715,9350469,10336831,10120286,10140709,9690855,9787063,10769843
8614408,4614408,2850.26448,8614408,9372480,8486035,9416341,10067898,10064387,10202850,9517953,9779960,10487101
8770779,4770779,2679.0708,8770779,9131099,8753432,9348180,10006534,10039170,10008676,9390686,9533800,10252768
9057647,5057647,2522.14368,9057647,8676522,8775137,9144554,9782862,10169407,9984406,9348941,9290889,10179472
9089033,5089033,2474.41488,9089033,8981577,8889579,9193886,9660025,10315924,10043659,9372801,9163929,10071255
9455405,5455405,2505.15216,9455405,9225102,8799696,9344331,9804175,10132425,10039064,9789389,9361070,9924732
9874000,5874000,2682.72816,9874000,9621240,9044027,9381266,10015131,10355154,10272741,10179720,9362800,9971379
10634030,6634030,3086.13984,10634030,10142004,9668540,9843826,10701574,10851252,10777042,10802284,10029247,10251556
11022121,7022121,3158.93424,11022121,10757453,10064305,10285411,11359263,11556422,11444689,11563474,10648671,10955709
10539858,6539858,2926.99512,10539858,10130957,9636340,9824314,10947847,11061648,10896128,11148139,10172892,10537268
9890985,5890985,2628.75648,9890985,9572938,9128904,9382509,10251937,10378496,10338939,10338291,9692704,10016654
9565583,5565583,2334.51624,9565583,9306985,8990601,9020253,9929391,10180199,10126550,10155858,9494755,10067464
9759510,5759510,1962.10056,9759510,9460084,9160714,9204308,10159470,10434264,10440692,10534627,10084194,10709052
7771634,3771634,1304.73168,7771634,8000272,7690938,7789672,8299056,8456955,8377630,8720797,8033348,9003753
7395188,3395188,1191.83064,7395188,7647177,7470698,7539470,7917880,7858841,7900469,8111269,7618854,8496308
7187956,3187956,1106.96544,7187956,7406173,7278012,7247371,7512199,7525097,7618449,7707766,7189503,7988077
7058995,3058995,1041.27072,7058995,7317339,7172357,7184058,7343099,7343375,7555420,7501445,6887007,7730784
7082665,3082665,1055.15088,7082665,7253014,7299606,7098049,7367190,7334750,7475913,7478090,6916701,7608150
7283830,3283830,1127.4312,7283830,7566894,7541499,7039102,7661105,7539074,7726549,7707298,6921488,7650960
7566520,3566520,1325.42592,7566520,7990832,8177982,6698525,8033190,7925112,8261042,8205087,6641593,7418900
7923192,3923192,1698.34896,7923192,8878339,8837434,6740121,8892640,8626659,9103109,8841531,6779385,7641468
